0,60|0,40|$10.185,00
0,80|0,40|$12.075,00
1,00|0,40|$13.545,00
1,20|0,40|$15.645,00
1,00|0,60|$18.480,00
1,00|0,90|$21.735,00
1,00|1,00|$19.635,00
1,20|1,00|$20.685,00
1,50|1,00|$23.625,00
1,20|1,10|$21.525,00
1,50|1,10|$24.675,00
1,50|1,50|$30.975,00
1,20|2,00|$47.250,00
1,50|2,00|$57.750,00
1,80|2,00|$60.900,00
2,00|2,00|$68.250,00
